BRITISH COLUMBIA / COLOMBIE-BRITANNIQUE (ThreeHundredEight.com projections)								August 28, 2015
Low / Bas	49.2	15.5	21.3	0.0	0.0	6.8	0.6	
Abbotsford	51.8	17.2	22.2	0.0	0.0	7.6	1.2	94%
High / Haut	57.0	18.4	23.9	0.0	0.0	8.1	1.8	
								
Low / Bas	27.9	25.9	33.6	0.0	0.0	5.2	0.6	
Burnaby North – Seymour	29.3	28.8	35.0	0.0	0.0	5.8	1.1	63%
High / Haut	32.3	30.8	37.8	0.0	0.0	6.2	1.7	
								
Low / Bas	24.4	18.9	45.1	0.0	0.0	4.7	0.5	
Burnaby South	25.7	21.0	46.9	0.0	0.0	5.3	1.1	88%
High / Haut	28.3	22.4	50.7	0.0	0.0	5.6	1.6	
								
Low / Bas	38.1	9.6	35.7	0.0	0.0	9.6	0.6	
Cariboo – Prince George	40.1	10.7	37.2	0.0	0.0	10.7	1.3	56%
High / Haut	44.1	11.5	40.2	0.0	0.0	11.4	1.9	
								
Low / Bas	37.8	16.9	27.2	0.0	0.0	10.7	0.6	
Central Okanagan – Similkameen – Nicola	39.8	18.8	28.3	0.0	0.0	11.9	1.1	75%
High / Haut	43.8	20.1	30.6	0.0	0.0	12.7	1.7	
								
Low / Bas	41.8	19.1	24.8	0.0	0.0	7.0	0.6	
Chilliwack – Hope	44.0	21.2	25.9	0.0	0.0	7.8	1.2	85%
High / Haut	48.4	22.7	27.9	0.0	0.0	8.3	1.7	
								
Low / Bas	38.5	20.6	27.0	0.0	0.0	6.6	0.6	
Cloverdale – Langley City	40.5	22.9	28.1	0.0	0.0	7.3	1.2	77%
High / Haut	44.6	24.5	30.3	0.0	0.0	7.8	1.8	
								
Low / Bas	36.1	15.1	35.3	0.0	0.0	6.5	0.6	
Coquitlam – Port Coquitlam	38.0	16.8	36.7	0.0	0.0	7.2	1.2	53%
High / Haut	41.8	18.0	39.7	0.0	0.0	7.7	1.9	
								
Low / Bas	30.8	11.1	42.1	0.0	0.0	9.2	0.6	
Courtenay – Alberni	32.4	12.3	43.9	0.0	0.0	10.3	1.1	75%
High / Haut	35.7	13.2	47.4	0.0	0.0	11.0	1.7	
								
Low / Bas	28.7	10.2	44.0	0.0	0.0	10.3	0.6	
Cowichan – Malahat – Langford	30.3	11.3	45.9	0.0	0.0	11.4	1.2	81%
High / Haut	33.3	12.1	49.5	0.0	0.0	12.2	1.8	
								
Low / Bas	30.6	28.7	27.0	0.0	0.0	5.9	0.5	
Delta	32.2	31.9	28.2	0.0	0.0	6.6	1.1	50%
High / Haut	35.5	34.2	30.4	0.0	0.0	7.1	1.6	
								
Low / Bas	22.3	15.1	38.9	0.0	0.0	16.4	0.5	
Esquimalt – Saanich – Sooke	23.5	16.7	40.5	0.0	0.0	18.2	1.1	82%
High / Haut	25.9	17.9	43.7	0.0	0.0	19.5	1.6	
								
Low / Bas	31.5	25.0	32.8	0.0	0.0	3.4	0.5	
Fleetwood – Port Kells	33.1	27.8	34.2	0.0	0.0	3.8	1.1	53%
High / Haut	36.4	29.7	37.0	0.0	0.0	4.0	1.6	
								
Low / Bas	37.3	9.2	39.7	0.0	0.0	7.2	0.6	
Kamloops – Thompson – Cariboo	39.2	10.3	41.3	0.0	0.0	8.0	1.2	56%
High / Haut	43.2	11.0	44.6	0.0	0.0	8.5	1.8	
								
Low / Bas	39.8	18.9	21.9	0.0	0.0	11.8	0.6	
Kelowna – Lake Country	41.9	21.0	22.9	0.0	0.0	13.1	1.1	86%
High / Haut	46.1	22.5	24.7	0.0	0.0	14.1	1.7	
								
Low / Bas	36.1	6.1	42.1	0.0	0.0	9.2	0.6	
Kootenay – Columbia	38.0	6.7	43.9	0.0	0.0	10.2	1.2	63%
High / Haut	41.8	7.2	47.4	0.0	0.0	10.9	1.8	
								
Low / Bas	48.0	15.9	21.2	0.0	0.0	7.7	0.6	
Langley – Aldergrove	50.5	17.7	22.1	0.0	0.0	8.5	1.2	93%
High / Haut	55.6	18.9	23.9	0.0	0.0	9.1	1.8	
								
Low / Bas	36.6	14.8	35.0	0.0	0.0	6.6	0.6	
Mission – Matsqui – Fraser Canyon	38.6	16.4	36.5	0.0	0.0	7.3	1.2	56%
High / Haut	42.4	17.5	39.4	0.0	0.0	7.9	1.8	
								
Low / Bas	25.6	11.1	46.8	0.0	0.0	9.8	0.6	
Nanaimo – Ladysmith	27.0	12.3	48.7	0.0	0.0	10.8	1.1	88%
High / Haut	29.7	13.2	52.6	0.0	0.0	11.6	1.7	
								
Low / Bas	21.9	14.3	51.4	0.0	0.0	5.8	0.6	
New Westminster – Burnaby	23.0	15.9	53.5	0.0	0.0	6.4	1.1	94%
High / Haut	25.3	17.0	57.8	0.0	0.0	6.9	1.7	
								
Low / Bas	28.8	11.3	45.7	0.0	0.0	7.5	0.6	
North Island – Powell River	30.3	12.5	47.6	0.0	0.0	8.4	1.2	84%
High / Haut	33.4	13.4	51.4	0.0	0.0	8.9	1.8	
								
Low / Bas	34.8	13.2	29.1	0.0	0.0	15.4	0.6	
North Okanagan – Shuswap	36.6	14.7	30.3	0.0	0.0	17.2	1.2	65%
High / Haut	40.3	15.7	32.8	0.0	0.0	18.4	1.8	
								
Low / Bas	27.8	42.0	14.9	0.0	0.0	6.9	0.5	
North Vancouver	29.3	46.6	15.5	0.0	0.0	7.7	1.0	84%
High / Haut	32.2	49.9	16.7	0.0	0.0	8.2	1.4	
								
Low / Bas	35.9	9.9	40.0	0.0	0.0	7.4	0.6	
Pitt Meadows – Maple Ridge	37.8	11.0	41.7	0.0	0.0	8.2	1.3	58%
High / Haut	41.6	11.8	45.0	0.0	0.0	8.8	1.9	
								
Low / Bas	29.8	13.0	44.5	0.0	0.0	6.0	0.6	
Port Moody – Coquitlam	31.3	14.5	46.3	0.0	0.0	6.7	1.1	80%
High / Haut	34.5	15.5	50.0	0.0	0.0	7.2	1.7	
								
Low / Bas	45.9	9.3	28.9	0.0	0.0	9.0	0.6	
Prince George – Peace River – Northern Rockies	48.3	10.4	30.1	0.0	0.0	9.9	1.2	85%
High / Haut	53.1	11.1	32.6	0.0	0.0	10.6	1.8	
								
Low / Bas	38.0	29.7	17.9	0.0	0.0	6.5	0.5	
