BRITISH COLUMBIA / COLOMBIE-BRITANNIQUE (ThreeHundredEight.com projections)								September 9, 2015
Low / Bas	41.8	22.0	22.8	0.0	0.0	6.9	0.1	
Abbotsford	44.0	24.4	23.7	0.0	0.0	7.7	0.1	86%
High / Haut	48.4	26.1	25.6	0.0	0.0	8.2	0.2	
								
Low / Bas	21.7	33.7	32.9	0.0	0.0	4.8	0.1	
Burnaby North – Seymour	22.8	37.4	34.3	0.0	0.0	5.4	0.1	58%
High / Haut	25.1	40.0	37.0	0.0	0.0	5.8	0.2	
								
Low / Bas	19.3	25.0	45.0	0.0	0.0	4.5	0.0	
Burnaby South	20.4	27.7	46.8	0.0	0.0	5.0	0.1	86%
High / Haut	22.4	29.7	50.6	0.0	0.0	5.3	0.1	
								
Low / Bas	32.4	13.7	38.2	0.0	0.0	9.7	0.1	
Cariboo – Prince George	34.1	15.2	39.8	0.0	0.0	10.8	0.1	63%
High / Haut	37.5	16.2	43.0	0.0	0.0	11.6	0.2	
								
Low / Bas	31.2	23.3	28.2	0.0	0.0	10.5	0.1	
Central Okanagan – Similkameen – Nicola	32.9	25.9	29.4	0.0	0.0	11.7	0.1	58%
High / Haut	36.1	27.7	31.8	0.0	0.0	12.5	0.2	
								
Low / Bas	34.4	26.3	25.8	0.0	0.0	6.9	0.1	
Chilliwack – Hope	36.3	29.2	26.9	0.0	0.0	7.6	0.1	67%
High / Haut	39.9	31.2	29.0	0.0	0.0	8.1	0.2	
								
Low / Bas	31.3	28.0	27.6	0.0	0.0	6.4	0.1	
Cloverdale – Langley City	32.9	31.1	28.8	0.0	0.0	7.1	0.1	53%
High / Haut	36.2	33.3	31.1	0.0	0.0	7.6	0.2	
								
Low / Bas	29.8	20.9	36.7	0.0	0.0	6.4	0.1	
Coquitlam – Port Coquitlam	31.4	23.2	38.2	0.0	0.0	7.1	0.1	65%
High / Haut	34.5	24.8	41.3	0.0	0.0	7.6	0.2	
								
Low / Bas	25.6	15.3	44.0	0.0	0.0	9.1	0.1	
Courtenay – Alberni	26.9	17.0	45.8	0.0	0.0	10.1	0.1	85%
High / Haut	29.6	18.2	49.5	0.0	0.0	10.8	0.2	
								
Low / Bas	23.8	14.1	46.0	0.0	0.0	10.1	0.1	
Cowichan – Malahat – Langford	25.1	15.6	47.9	0.0	0.0	11.3	0.1	89%
High / Haut	27.6	16.7	51.7	0.0	0.0	12.1	0.2	
								
Low / Bas	23.7	37.2	26.4	0.0	0.0	5.5	0.0	
Delta	25.0	41.3	27.5	0.0	0.0	6.1	0.1	78%
High / Haut	27.5	44.2	29.7	0.0	0.0	6.5	0.1	
								
Low / Bas	18.0	20.2	39.4	0.0	0.0	15.7	0.0	
Esquimalt – Saanich – Sooke	18.9	22.5	41.0	0.0	0.0	17.4	0.1	85%
High / Haut	20.8	24.1	44.3	0.0	0.0	18.7	0.1	
								
Low / Bas	24.7	32.8	32.5	0.0	0.0	3.2	0.0	
Fleetwood – Port Kells	26.0	36.5	33.9	0.0	0.0	3.5	0.1	56%
High / Haut	28.6	39.0	36.6	0.0	0.0	3.8	0.1	
								
Low / Bas	31.6	13.1	42.3	0.0	0.0	7.2	0.1	
Kamloops – Thompson – Cariboo	33.2	14.5	44.1	0.0	0.0	8.0	0.1	73%
High / Haut	36.6	15.5	47.6	0.0	0.0	8.6	0.2	
								
Low / Bas	32.7	26.0	22.7	0.0	0.0	11.6	0.1	
Kelowna – Lake Country	34.5	28.9	23.7	0.0	0.0	12.9	0.1	63%
High / Haut	37.9	30.9	25.6	0.0	0.0	13.8	0.2	
								
Low / Bas	30.9	8.7	45.5	0.0	0.0	9.3	0.1	
Kootenay – Columbia	32.5	9.6	47.3	0.0	0.0	10.4	0.1	80%
High / Haut	35.8	10.3	51.1	0.0	0.0	11.1	0.2	
								
Low / Bas	40.6	22.5	22.6	0.0	0.0	7.7	0.1	
Langley – Aldergrove	42.8	25.0	23.6	0.0	0.0	8.6	0.1	84%
High / Haut	47.1	26.7	25.5	0.0	0.0	9.2	0.2	
								
Low / Bas	30.3	20.4	36.5	0.0	0.0	6.5	0.1	
Mission – Matsqui – Fraser Canyon	31.9	22.7	38.0	0.0	0.0	7.2	0.1	65%
High / Haut	35.1	24.3	41.1	0.0	0.0	7.8	0.2	
								
Low / Bas	21.0	15.2	48.3	0.0	0.0	9.5	0.1	
Nanaimo – Ladysmith	22.1	16.9	50.3	0.0	0.0	10.6	0.1	93%
High / Haut	24.3	18.1	54.3	0.0	0.0	11.3	0.2	
								
Low / Bas	17.5	19.1	51.9	0.0	0.0	5.5	0.1	
New Westminster – Burnaby	18.5	21.3	54.1	0.0	0.0	6.1	0.1	95%
High / Haut	20.3	22.7	58.4	0.0	0.0	6.6	0.2	
								
Low / Bas	23.7	15.5	47.5	0.0	0.0	7.4	0.1	
North Island – Powell River	25.0	17.2	49.4	0.0	0.0	8.2	0.1	90%
High / Haut	27.5	18.4	53.4	0.0	0.0	8.8	0.2	
								
Low / Bas	29.0	18.4	30.6	0.0	0.0	15.3	0.1	
North Okanagan – Shuswap	30.5	20.5	31.9	0.0	0.0	17.0	0.1	53%
High / Haut	33.6	21.9	34.4	0.0	0.0	18.2	0.2	
								
Low / Bas	20.5	51.6	13.8	0.0	0.0	6.1	0.0	
North Vancouver	21.5	57.3	14.4	0.0	0.0	6.7	0.1	96%
High / Haut	23.7	61.3	15.5	0.0	0.0	7.2	0.1	
								
Low / Bas	30.3	14.0	42.5	0.0	0.0	7.4	0.1	
Pitt Meadows – Maple Ridge	31.8	15.5	44.3	0.0	0.0	8.2	0.1	77%
High / Haut	35.0	16.6	47.8	0.0	0.0	8.8	0.2	
								
Low / Bas	24.4	17.9	45.9	0.0	0.0	5.9	0.1	
Port Moody – Coquitlam	25.7	19.8	47.8	0.0	0.0	6.5	0.1	89%
High / Haut	28.2	21.2	51.7	0.0	0.0	7.0	0.2	
								
Low / Bas	39.7	13.5	31.5	0.0	0.0	9.2	0.1	
Prince George – Peace River – Northern Rockies	41.8	15.0	32.9	0.0	0.0	10.2	0.1	69%
High / Haut	46.0	16.0	35.5	0.0	0.0	11.0	0.2	
								
Low / Bas	29.8	39.0	17.7	0.0	0.0	6.0	0.0	
Richmond Centre	31.4	43.3	18.5	0.0	0.0	6.7	0.1	75%
High / Haut	34.5	46.4	19.9	0.0	0.0	7.2	0.1	
								
Low / Bas	16.9	12.3	10.4	0.0	0.0	51.9	0.0	
Saanich – Gulf Islands	17.8	13.7	10.9	0.0	0.0	57.6	0.1	97%
High / Haut	19.5	14.6	11.7	0.0	0.0	61.7	0.1	
								
Low / Bas	19.5	8.9	61.9	0.0	0.0	4.6	0.1	
Skeena – Bulkley Valley	20.5	9.8	64.4	0.0	0.0	5.1	0.1	98%
High / Haut	22.6	10.5	69.6	0.0	0.0	5.5	0.2	
								
Low / Bas	24.5	16.9	41.1	0.0	0.0	11.3	0.1	
South Okanagan – West Kootenay	25.8	18.8	42.8	0.0	0.0	12.5	0.1	82%
High / Haut	28.3	20.1	46.2	0.0	0.0	13.4	0.2	
								
Low / Bas	26.9	39.7	18.7	0.0	0.0	7.2	0.0	
South Surrey – White Rock	28.3	44.1	19.5	0.0	0.0	7.9	0.1	81%
High / Haut	31.2	47.2	21.1	0.0	0.0	8.5	0.1	
								
Low / Bas	24.6	39.9	23.0	0.0	0.0	5.1	0.1	
Steveston – Richmond East	25.9	44.3	23.9	0.0	0.0	5.7	0.1	85%
High / Haut	28.5	47.4	25.8	0.0	0.0	6.1	0.2	
ThreeHundredEight.com projections (these are not polls or necessarily reflective of current voting intentions)								September 9, 2015
Low / Bas	16.1	35.1	37.8	0.0	0.0	4.1	0.0	
Surrey Centre	17.0	39.0	39.4	0.0	0.0	4.6	0.1	50%
High / Haut	18.7	41.7	42.5	0.0	0.0	4.9	0.1	
								
Low / Bas	9.8	53.4	26.5	0.0	0.0	2.4	0.0	
Surrey – Newton	10.3	59.3	27.6	0.0	0.0	2.6	0.1	95%
High / Haut	11.4	63.5	29.8	0.0	0.0	2.8	0.1	
								
Low / Bas	9.6	48.2	19.8	0.0	0.0	14.1	0.0	
Vancouver Centre	10.1	53.5	20.6	0.0	0.0	15.7	0.1	95%
High / Haut	11.1	57.3	22.3	0.0	0.0	16.8	0.1	
								
Low / Bas	8.8	20.2	55.9	0.0	0.0	9.0	0.0	
Vancouver East	9.3	22.4	58.2	0.0	0.0	10.0	0.1	96%
High / Haut	10.2	24.0	62.8	0.0	0.0	10.7	0.1	
								
Low / Bas	18.0	40.8	23.7	0.0	0.0	9.8	0.0	
