riding,FEDNUM
Mission – Matsqui – Fraser Canyon,59017
Bruce – Grey – Owen Sound,35014
Sarnia – Lambton,35091
Bow River,48003
Mississauga – Malton,35062
Vaughan – Woodbridge,35111
West Vancouver – Sunshine Coast – Sea to Sky Country,59042
Burnaby North – Seymour,59002
Saint-Léonard – Saint-Michel,24069
Algoma – Manitoulin – Kapuskasing,35002
Long Range Mountains,10005
Regina – Wascana,47009
Haldimand – Norfolk,35033
Acadie – Bathurst,13001
Elgin – Middlesex – London,35025
Simcoe North,35100
Windsor – Tecumseh,35116
King – Vaughan,35043
Pontiac,24057
Winnipeg Centre,46011
Kings – Hants,12007
Terrebonne,24075
Calgary Signal Hill,48012
Niagara Centre,35066
Québec,24059
Huron – Bruce,35040
Peterborough – Kawartha,35084
Kootenay – Columbia,59015
Cariboo – Prince George,59004
Victoria,59041
St. John's East,10006
Saskatoon – Grasswood,47010
Winnipeg South,46013
Charlesbourg – Haute-Saint-Charles,24019
North Okanagan – Shuswap,59020
Whitby,35114
Markham – Thornhill,35055
Saint-Maurice – Champlain,24070
Bellechasse – Les Etchemins – Lévis,24010
Jonquière,24032
Edmonton Mill Woods,48017
Prince George – Peace River – Northern Rockies,59024
Carlton Trail – Eagle Creek,47004
Waterloo,35112
Don Valley North,35020
Lakeland,48025
Cloverdale – Langley City,59007
Sherwood Park – Fort Saskatchewan,48032
Kitchener – Conestoga,35046
Esquimalt – Saanich – Sooke,59026
Niagara West,35068
Provencher,46008
Dartmouth – Cole Harbour,12004
Manicouagan,24046
Yorkton – Melville,47014
Skeena – Bulkley Valley,59028
Calgary Rocky Ridge,48010
Beauce,24007
Niagara Falls,35067
LaSalle – Émard – Verdun,24037
Sackville – Preston – Chezzetcook,12008
Sudbury,35103
Beloeil – Chambly,24011
Surrey Centre,59032
Laval-Les Îles,24040
Guelph,35032
South Shore – St. Margaret's,12009
Calgary Confederation,48005
Edmonton Manning,48016
Dorval – Lachine – LaSalle,24024
Courtenay – Alberni,59009
Abitibi – Baie-James – Nunavik – Eeyou,24001
Chicoutimi – Le Fjord,24022
Nanaimo – Ladysmith,59018
Moncton – Riverview – Dieppe,13007
Abbotsford,59001
Durham,35023
Nunavut,62001
Berthier – Maskinongé,24012
Thunder Bay – Rainy River,35105
Avignon – La Mitis – Matane – Matapédia*,24006
Milton,35057
Oakville,35072
Don Valley West,35021
Trois-Rivières,24076
Calgary Midnapore,48008
Halifax West,12006
Saint-Jean,24067
Louis-Saint-Laurent,24045
Mississauga – Lakeshore,35061
Mégantic – L'Érable,24047
Nipissing – Timiskaming,35070
Hamilton Centre,35035
Glengarry – Prescott – Russell,35031
Foothills,48022
Salaberry – Suroît,24071
London North Centre,35052
Etobicoke – Lakeshore,35028
