These results were downloaded and refreshed on October   20, 2015 at 12:18 p.m. ET. / Ces résultats ont été téléchargés et rafraichis le 20 octobre 2015 à 12h18 HE.													
Electoral district number - Numéro de la circonscription	Electoral district name	Nom de la circonscription	Type of results*	Type de résultats**	Surname - Nom de famille	Middle name(s) - Autre(s) prénom(s)	Given name - Prénom	Political affiliation	Appartenance politique	Votes obtained - Votes obtenus	% Votes obtained - Votes obtenus %	Rejected ballots - Bulletins rejetés***	Total number of ballots cast - Nombre total de votes déposés
10001	Avalon	Avalon	preliminary	préliminaires	Andrews		Scott	No Affiliation	Aucune appartenance	7501	17.8	0	42151
10001	Avalon	Avalon	preliminary	préliminaires	Baldwin		Jeannie	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	6085	14.4	0	42151
10001	Avalon	Avalon	preliminary	préliminaires	Barnett		Lorraine E.	Conservative	Conservateur	4670	11.1	0	42151
10001	Avalon	Avalon	preliminary	préliminaires	Byrne-Puumala		Krista	Green Party	Parti Vert	228	.5	0	42151
10001	Avalon	Avalon	preliminary	préliminaires	McCreath		Jennifer	Forces et Démocratie - Allier les forces de nos régions	Forces et Démocratie - Allier les forces de nos régions	84	.2	0	42151
10001	Avalon	Avalon	preliminary	préliminaires	McDonald		Ken	Liberal	Libéral	23583	55.9	0	42151
10002	Bonavista--Burin--Trinity	Bonavista--Burin--Trinity	preliminary	préliminaires	Brown		Jenn	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	2553	7.3	0	35029
10002	Bonavista--Burin--Trinity	Bonavista--Burin--Trinity	preliminary	préliminaires	Colbourne		Tyler John	Green Party	Parti Vert	297	.8	0	35029
10002	Bonavista--Burin--Trinity	Bonavista--Burin--Trinity	preliminary	préliminaires	Foote		Judy M.	Liberal	Libéral	28645	81.8	0	35029
10002	Bonavista--Burin--Trinity	Bonavista--Burin--Trinity	preliminary	préliminaires	Windsor		Mike	Conservative	Conservateur	3534	10.1	0	35029
10003	Coast of Bays--Central--Notre Dame	Coast of Bays--Central--Notre Dame	preliminary	préliminaires	Menchenton		Claudette	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	2184	6.1	0	35530
10003	Coast of Bays--Central--Notre Dame	Coast of Bays--Central--Notre Dame	preliminary	préliminaires	O'Brien		Kevin George	Conservative	Conservateur	6503	18.3	0	35530
10003	Coast of Bays--Central--Notre Dame	Coast of Bays--Central--Notre Dame	preliminary	préliminaires	Perry		Elizabeth	Green Party	Parti Vert	271	.8	0	35530
10003	Coast of Bays--Central--Notre Dame	Coast of Bays--Central--Notre Dame	preliminary	préliminaires	Simms		Scott	Liberal	Libéral	26572	74.8	0	35530
10004	Labrador	Labrador	preliminary	préliminaires	Jones		Yvonne	Liberal	Libéral	8878	71.8	0	12373
10004	Labrador	Labrador	preliminary	préliminaires	Penashue		Peter	Conservative	Conservateur	1716	13.9	0	12373
10004	Labrador	Labrador	preliminary	préliminaires	Rudkowski		Edward	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1779	14.4	0	12373
10005	Long Range Mountains	Long Range Mountains	preliminary	préliminaires	Babstock		Devon	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	4719	11.3	0	41812
10005	Long Range Mountains	Long Range Mountains	preliminary	préliminaires	Cormier		Terry	Green Party	Parti Vert	1110	2.7	0	41812
10005	Long Range Mountains	Long Range Mountains	preliminary	préliminaires	Hutchings		Gudie	Liberal	Libéral	30897	73.9	0	41812
10005	Long Range Mountains	Long Range Mountains	preliminary	préliminaires	Ruth		Wayne	Conservative	Conservateur	5086	12.2	0	41812
10006	St. John's East	St. John's-Est	preliminary	préliminaires	Burton		Sean	Communist	Communiste	139	.3	0	44415
10006	St. John's East	St. John's-Est	preliminary	préliminaires	Harris		Jack	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	20113	45.3	0	44415
10006	St. John's East	St. John's-Est	preliminary	préliminaires	Peters		David Anthony	Green Party	Parti Vert	490	1.1	0	44415
10006	St. John's East	St. John's-Est	preliminary	préliminaires	Stapleton		Deanne	Conservative	Conservateur	2902	6.5	0	44415
10006	St. John's East	St. John's-Est	preliminary	préliminaires	Whalen		Nick	Liberal	Libéral	20771	46.8	0	44415
10007	St. John's South--Mount Pearl	St. John's-Sud--Mount Pearl	preliminary	préliminaires	Cleary		Ryan	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	16465	36.8	0	44781
10007	St. John's South--Mount Pearl	St. John's-Sud--Mount Pearl	preliminary	préliminaires	Krol		Marek	Conservative	Conservateur	2029	4.5	0	44781
10007	St. John's South--Mount Pearl	St. John's-Sud--Mount Pearl	preliminary	préliminaires	McLean		Jackson	Green Party	Parti Vert	365	.8	0	44781
